Primary Org Id,Primary Org Name,Primary Org City,Primary Org State,Primary Org Country,ArXiv Id,Affiliation Sequence Number,paper_id
60030612,"University of California, San Diego",La Jolla,CA,United States,2201.00850v2,1,2201.00850
60104353,IIT Council,Kanpur,UP,India,2201.00458v1,13,2201.00458
60008134,CNRS Centre National de la Recherche Scientifique,Paris,Ile-de-France,France,2201.00070v2,1,2201.00070
60017604,"Siberian Branch, Russian Academy of Sciences",Novosibirsk,Novosibirsk Oblast,Russian Federation,2201.00465v2,2,2201.00465
60023932,University of Technology Sydney,Sydney,NSW,Australia,2201.00989v2,1,2201.00989
60016849,University of Toronto,Toronto,ON,Canada,2201.00382v3,1,2201.00382
60024542,South China University of Technology,Guangzhou,Guangdong,China,2201.00298v1,1,2201.00298
60166766,Komar University of Science and Technology,Sulaymania,Sulaymaniyah,Iraq,2201.00121v1,3,2201.00121
60019711,Office of Science,"Washington, D.C.",,United States,2201.00289v1,10,2201.00289
60015138,University of Nottingham,Nottingham,Nottinghamshire,United Kingdom,2201.00599v1,2,2201.00599
60032398,University of Jyväskylä,Jyvaskyla,Central Finland,Finland,2201.00564v1,1,2201.00564
60002786,Hebei Normal University,Shijiazhuang,Hebei,China,2201.00294v1,2,2201.00294
60033240,Universidad Viña del Mar,Vina del Mar,VS,Chile,2201.00407v1,2,2201.00407
60008201,F. Hoffmann-La Roche AG,Basel,,Switzerland,2201.00688v1,1,2201.00688
60032350,Sapienza Università di Roma,Rome,RM,Italy,2201.00343v1,4,2201.00343
60023599,European Southern Observatory,Garching bei Munchen,,Germany,2201.00826v1,9,2201.00826
60028609,Argonne National Laboratory,Lemont,IL,United States,2201.00729v1,2,2201.00729
60004518,Consejo Nacional de Investigaciones Científicas y Técnicas,Buenos Aires,,Argentina,2201.00671v2,2,2201.00671
60031777,Islamic Azad University,Tehran,Tehran,Iran,2201.00403v1,2,2201.00403
60109945,"Islamic Azad University, Ahar Branch",Ahar,East Azerbaijan Province,Iran,2201.00403v1,2,2201.00403
60013983,City University of Hong Kong,Hong Kong,,Hong Kong,2201.00291v1,1,2201.00291
60024941,"University of California, Santa Cruz",Santa Cruz,CA,United States,2201.00942v1,1,2201.00942
60009236,Institut polytechnique de Grenoble,Grenoble,,France,2201.00343v1,5,2201.00343
60023588,Universitat Basel,Basel,BS,Switzerland,2201.00384v3,1,2201.00384
60070813,University of Sharjah,Sharjah,,United Arab Emirates,2201.00437v1,4,2201.00437
60019499,Chinese Academy of Sciences,Beijing,Beijing,China,2201.00143v1,4,2201.00143
60029311,University of Southern California,Los Angeles,CA,United States,2201.00653v1,1,2201.00653
60026796,Universidad Autónoma de Madrid,Madrid,Madrid,Spain,2201.00770v1,1,2201.00770
60012162,Politecnico di Torino,Turin,TO,Italy,2201.00673v1,1,2201.00673
60028265,Lanzhou University,Lanzhou,Gansu,China,2201.00709v1,1,2201.00709
60003631,Western Washington University,Bellingham,WA,United States,2201.00891v1,7,2201.00891
60010726,Doshisha University,Kyoto,Kyoto,Japan,2201.00084v1,1,2201.00084
60017717,The University of North Carolina System,Raleigh,NC,United States,2201.00297v1,2,2201.00297
60000934,National Institute of Technology Rourkela,Rourkela,OR,India,2201.00679v2,1,2201.00679
60018515,University System of Maryland,Baltimore,MD,United States,2201.00942v1,2,2201.00942
60031203,University of California System,Oakland,CA,United States,2201.00387v2,2,2201.00387
60015188,Helmholtz Association of German Research Centres,Berlin,,Germany,2201.00887v1,4,2201.00887
60021660,Istituto Nazionale di Fisica Nucleare - INFN,Rome,,Italy,2201.00826v1,4,2201.00826
60000481,Università degli Studi di Padova,Padua,PD,Italy,2201.00559v2,1,2201.00559
60013372,The University of Texas at Austin,Austin,TX,United States,2201.00455v1,1,2201.00455
60032032,United States Department of the Navy,Arlington,VA,United States,2201.00544v1,1,2201.00544
60005510,Nanyang Technological University,Singapore City,,Singapore,2201.00020v3,1,2201.00020
60076695,NVIDIA,Santa Clara,CA,United States,2201.00059v1,5,2201.00059
60002494,Université McGill,Montreal,QC,Canada,2201.00727v1,6,2201.00727
60005248,Johns Hopkins University,Baltimore,MD,United States,2201.00247v1,6,2201.00247
60009415,The University of Texas at Dallas,Richardson,TX,United States,2201.00804v5,4,2201.00804
60005049,INSA Rennes,Rennes,Brittany,France,2201.00321v1,1,2201.00321
60026532,Microsoft Corporation,Redmond,WA,United States,2201.00309v1,3,2201.00309
60009982,Harvard University,Cambridge,MA,United States,2201.00823v2,2,2201.00823
60021200,East China Normal University,Shanghai,,China,2201.00210v1,3,2201.00210
60030451,National Renewable Energy Laboratory,Golden,CO,United States,2201.00452v1,4,2201.00452
60029570,Universidade Estadual de Campinas,Campinas,SP,Brazil,2201.00033v3,1,2201.00033
60014439,"University of California, Davis",Davis,CA,United States,2201.00982v2,1,2201.00982
60103153,Ulsan National Institute of Science and Technology,Ulsan,,South Korea,2201.00684v1,6,2201.00684
