InstitutionName,InstitutionLabel,Country,CountryCode,ConsortiaCode,MemberType,sId,rorId,isConsortium,Institution,salsaId,orgId,Comment,TP,FP,FN,TN
University of Pennsylvania,University of Pennsylvania,United States,US,,member,1,https://ror.org/00b30xv10,0,University of Pennsylvania,52318421,60006297,,8,2,0,1990
University of Iowa,University of Iowa,United States,US,BTAA,champion,2,https://ror.org/036jqmy94,0,University of Iowa,,60024324,,4,0,1,1995
Harvard University,Harvard University,United States,US,,member,3,https://ror.org/03vek6s52,0,Harvard University,5231157,60009982,,18,1,12,1969
New York University,New York University,United States,US,,member,4,https://ror.org/0190ak572,0,New York University,5231194,60021784,,8,3,2,1987
Indiana University,Indiana University,United States,US,BTAA,champion,5,https://ror.org/01kg8sb98,0,Indiana University,,60138445,,4,1,0,1995
"DESY (HGF - Helmholtz Association, German Research Centers)","DESY (HGF - Helmholtz Association, German Research Centers)",Germany,DE,DHHGF,member,6,https://ror.org/01js2sh04,0,"DESY (HGF - Helmholtz Association, German Research Centers)",5231142,60030635,,2,0,2,1996
Los Alamos National Laboratory,Los Alamos National Laboratory,United States,US,,champion,7,https://ror.org/01e41cf67,0,Los Alamos National Laboratory,52318425,60006164,,7,0,2,1991
University of Rochester,University of Rochester,United States,US,,member,8,https://ror.org/022kthw22,0,University of Rochester,1715555,60027165,,3,1,1,1995
University of Minnesota,University of Minnesota,United States,US,BTAA,champion,9,https://ror.org/017zqws13,0,University of Minnesota,,60005745,,3,2,1,1994
Michigan State University,Michigan State University,United States,US,BTAA,champion,10,https://ror.org/05hs6h993,0,Michigan State University,,60031707,,4,1,0,1995
Duke University,Duke University,United States,US,,member,11,https://ror.org/00py81415,0,Duke University,1735259,60008724,,5,1,0,1994
"University of Wisconsin, Madison","University of Wisconsin, Madison",United States,US,BTAA,champion,12,https://ror.org/01y2jtd41,0,"University of Wisconsin, Madison",,60032179,,12,3,2,1983
Texas A&M University,Texas A&M University,United States,US,,member,13,https://ror.org/01f5ytq51,0,Texas A&M University,1713694,60020547,,8,1,1,1990
Boston College,Boston College,United States,US,,member,14,https://ror.org/02n2fzt79,0,Boston College,5231123,60031117,,0,0,0,2000
Penn State University,Penn State University,United States,US,BTAA,champion,15,https://ror.org/04p491231,0,Penn State University,,60001439,,14,3,1,1982
Australian National University,Australian National University,Australia,AU,CAUL,member,16,https://ror.org/019wvm592,0,Australian National University,2090464,60008950,,8,1,1,1990
Rice University,Rice University,United States,US,,member,17,https://ror.org/008zs3103,0,Rice University,1735687,60005286,,3,1,1,1995
Tokyo University of Science,Tokyo University of Science,Japan,JP,NII,member,18,https://ror.org/05sj3n476,0,Tokyo University of Science,,60025141,,1,1,0,1998
University of Tokyo,University of Tokyo,Japan,JP,NII,member,478,https://ror.org/057zh3y96,0,University of Tokyo,,60025272,,19,3,2,1976
Institute for Advanced Study,Institute for Advanced Study,United States,US,,member,19,https://ror.org/00f809463,0,Institute for Advanced Study,52320620,60027485,,0,0,3,1997
University of Oregon,University of Oregon,United States,US,,member,21,https://ror.org/0293rh119,0,University of Oregon,1746087,60012317,,0,0,0,2000
ETH Zurich,ETH Zurich,Switzerland,CH,,member,22,https://ror.org/05a28rw58,0,ETH Zurich,52320631,60025858,,27,4,1,1968
"University of Zurich, Institute of Theoretical Physics","University of Zurich, Institute of Theoretical Physics",Switzerland,CH,CSAL,member,479,https://ror.org/02crff812,0,"University of Zurich, Institute of Theoretical Physics",1839345,60012614,,5,2,3,1990
University of Toronto,University of Toronto,Canada,CA,,member,23,https://ror.org/03dbr7087,0,University of Toronto,2090580,60016849,,4,7,0,1989
"University of California, Berkeley","University of California, Berkeley",United States,US,CDL,champion,24,https://ror.org/01an7q238,0,"University of California, Berkeley",,60025038,,21,9,6,1964
"University of California, Davis","University of California, Davis",United States,US,CDL,champion,25,https://ror.org/05rrcem69,0,"University of California, Davis",,60014439,,7,0,1,1992
"University of California, Irvine","University of California, Irvine",United States,US,CDL,champion,26,https://ror.org/04gyf1771,0,"University of California, Irvine",,60007278,,5,0,1,1994
"University of California, Los Angeles","University of California, Los Angeles",United States,US,CDL,champion,27,https://ror.org/046rm7j60,0,"University of California, Los Angeles",,60027550,,18,19,2,1961
"University of California, Merced","University of California, Merced",United States,US,CDL,champion,28,https://ror.org/00d9ah105,0,"University of California, Merced",,60009164,,3,2,1,1994
"University of California, Riverside","University of California, Riverside",United States,US,CDL,champion,29,https://ror.org/03nawhv43,0,"University of California, Riverside",,60029526,,2,0,2,1996
"University of California, San Diego","University of California, San Diego",United States,US,CDL,champion,30,https://ror.org/0168r3w48,0,"University of California, San Diego",,60030612,,12,3,1,1984
"University of California, Santa Barbara","University of California, Santa Barbara",United States,US,CDL,champion,31,https://ror.org/02t274463,0,"University of California, Santa Barbara",,60029241,,4,1,1,1994
"University of California, Santa Cruz","University of California, Santa Cruz",United States,US,CDL,champion,32,https://ror.org/03s65by71,0,"University of California, Santa Cruz",,60024941,,6,1,0,1993
Kyoto University,Kyoto University,Japan,JP,NII,member,34,https://ror.org/02kpeqv85,0,Kyoto University,,60011001,,13,2,1,1984
University of Waterloo,University of Waterloo,Canada,CA,,member,35,https://ror.org/01aff2v68,0,University of Waterloo,52318423,60014171,,12,4,0,1984
University of Tsukuba,University of Tsukuba,Japan,JP,NII,member,36,https://ror.org/02956yf07,0,University of Tsukuba,,60014256,,2,0,3,1995
Washington State University,Washington State University,United States,US,,member,37,https://ror.org/05dk0ce17,0,Washington State University,52318442,60009831,,2,0,1,1997
Tohoku University,Tohoku University,Japan,JP,NII,member,38,https://ror.org/01dq60k83,0,Tohoku University,,60008435,,5,1,0,1994
Purdue University,Purdue University,United States,US,BTAA,champion,39,https://ror.org/05p8z3f47,0,Purdue University,,60009254,,0,0,11,1989
University of Michigan,University of Michigan,United States,US,BTAA,champion,40,https://ror.org/00jmfr291,0,University of Michigan,,60025778,,13,2,2,1983
Rutgers University,Rutgers University,United States,US,BTAA,champion,41,https://ror.org/05vt9qd57,0,Rutgers University,,60030623,,3,3,1,1993
University of Maryland,University of Maryland,United States,US,BTAA,champion,42,https://ror.org/01r0c1p88,0,University of Maryland,,60018515,,0,0,31,1969
Waseda University,Waseda University,Japan,JP,NII,member,43,https://ror.org/00ntfnx83,0,Waseda University,,60023462,,3,1,0,1996
"IHEP, National Science Library, CAS","IHEP, National Science Library, CAS",China,CN,,member,44,https://ror.org/03v8tnc06,0,"IHEP, National Science Library, CAS",,60117390,,0,1,0,1999
Washington University in St. Louis,Washington University in St. Louis,United States,US,,member,45,https://ror.org/01yc7t268,0,Washington University in St. Louis,52320633,60010261,,5,0,4,1991
Villanova,Villanova,United States,US,,member,46,https://ror.org/02g7kd627,0,Villanova,1730241,60000009,,1,0,0,1999
Northwestern University,Northwestern University,United States,US,BTAA,champion,47,https://ror.org/000e0be47,0,Northwestern University,,60007363,,0,0,13,1987
Carnegie Mellon University,Carnegie Mellon University,United States,US,,member,48,https://ror.org/05x2bcf33,0,Carnegie Mellon University,52318419,60027950,,17,2,1,1980
University of Colorado,University of Colorado,United States,US,,member,50,https://ror.org/00jc20583,0,University of Colorado,52318424,60031819,,0,0,12,1988
University of Massachusetts,University of Massachusetts,United States,US,,member,51,https://ror.org/0072zz521,0,University of Massachusetts,5231297,60014313,,5,0,0,1995
University of Chicago,University of Chicago,United States,US,BTAA,champion,55,https://ror.org/024mw5h28,0,University of Chicago,,60029278,,8,2,0,1990
University of Queensland,University of Queensland,Australia,AU,,member,56,https://ror.org/00rqy9422,0,University of Queensland,3208424,60031004,,3,0,0,1997
University of Florida,University of Florida,United States,US,,member,60,https://ror.org/02y3ad647,0,University of Florida,1739842,60013959,,5,2,2,1991
Cardiff University,Cardiff University,United Kingdom,UK,Jisc,member,73,https://ror.org/03kk7td41,0,Cardiff University,,60023998,,1,0,0,1999
Durham University,Durham University,United Kingdom,GB,Jisc,member,81,https://ror.org/01v29qb04,0,Durham University,,60022175,,7,0,2,1991
King's College London,King's College London,United Kingdom,GB,Jisc,member,97,https://ror.org/0220mzb33,0,King's College London,,60015150,,4,0,1,1995
University College London,University College London,United Kingdom,GB,Jisc,champion,159,https://ror.org/02jx3x895,0,University College London,,60022148,,10,2,4,1984
University of Birmingham,University of Birmingham,United Kingdom,UK,Jisc,member,166,https://ror.org/03angcq70,0,University of Birmingham,,60019702,,4,1,3,1992
University of Bristol,University of Bristol,United Kingdom,GB,,member,170,https://ror.org/0524sp257,0,University of Bristol,,60020650,,6,1,2,1991
University of Glasgow,University of Glasgow,United Kingdom,UK,Jisc,member,183,https://ror.org/00vtgdb53,0,University of Glasgow,,60001490,,6,2,1,1991
University of York,University of York,United Kingdom,GB,,member,222,https://ror.org/04m01e293,0,University of York,5231331,60016418,,1,1,0,1998
Yale University,Yale University,United States,US,,member,226,https://ror.org/03v76x132,0,Yale University,5231339,60005455,,7,4,2,1987
Boston University,Boston University,United States,US,,member,227,https://ror.org/05qwgg493,0,Boston University,5231125,60019674,,6,3,1,1990
University of Melbourne,University of Melbourne,Australia,AU,CAUL,member,228,https://ror.org/01ej9dk98,0,University of Melbourne,5231299,60026553,,2,0,0,1998
Oregon State University,Oregon State University,United States,US,,member,229,https://ror.org/00ysfqy60,0,Oregon State University,1726518,60013402,,1,0,0,1999
California Institute of Technology (Caltech),California Institute of Technology (Caltech),United States,US,,champion,230,https://ror.org/05dxps055,0,California Institute of Technology (Caltech),1716899,60031581,,28,2,1,1969
University of Amsterdam,University of Amsterdam,Netherlands,NL,,member,232,https://ror.org/04dkp9463,0,University of Amsterdam,5231263,60002483,,12,1,0,1987
University of Vienna,University of Vienna,Austria,AT,,member,234,https://ror.org/03prydq77,0,University of Vienna,5097856,60018163,,8,1,0,1991
Bibliothèque de l'Observatoire de Paris (OBSPM),Bibliothèque de l'Observatoire de Paris (OBSPM),France,FR,CCSD,member,235,https://ror.org/029nkcm90,0,Bibliothèque de l'Observatoire de Paris (OBSPM),,60003674,,7,0,8,1985
Technion - Israel Institute of Technology,Technion - Israel Institute of Technology,Israel,IL,,member,236,https://ror.org/03qryx823,0,Technion - Israel Institute of Technology,52318426,60022403,,5,2,1,1992
University of Bern,University of Bern,Switzerland,CH,,member,237,https://ror.org/02k7v4d05,0,University of Bern,1745620,60020486,,3,1,7,1989
University of Washington Libraries,University of Washington Libraries,United States,US,,member,239,https://ror.org/00cvxb145,0,University of Washington Libraries,1714389,60015481,,4,6,1,1989
Perimeter Institute for Theoretical Physics,Perimeter Institute for Theoretical Physics,Canada,CA,,member,241,https://ror.org/013m0ej23,0,Perimeter Institute for Theoretical Physics,5231205,60031486,,7,1,0,1992
University of Helsinki,University of Helsinki,Finland,FI,,member,242,https://ror.org/040af2s02,0,University of Helsinki,5231289,60002952,,7,1,3,1989
Max Planck Digital Libraries,Max Planck Digital Libraries,Germany,DE,,member,243,https://ror.org/01hhn8329,0,Max Planck Digital Libraries,52318490,60006089,,0,0,1,1999
Cornell University,Cornell University,United States,US,,champion,244,https://ror.org/05bnh6r87,0,Cornell University,,60007776,,13,3,1,1983
Georgia Institute of Technology,Georgia Institute of Technology,United States,US,,champion,245,https://ror.org/01zkghx44,0,Georgia Institute of Technology,1727698,60019647,,12,3,0,1985
Fermilab,Fermilab,United States,US,,member,246,https://ror.org/020hgte69,0,Fermilab,5203933,60013881,,8,0,1,1991
Leiden University (Leiden Institute of Physics),Leiden University (Leiden Institute of Physics),Netherlands,NL,,member,247,https://ror.org/027bh9e22,0,Leiden University (Leiden Institute of Physics),2231668,60019816,,9,1,2,1988
Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory,United States,US,CDL,champion,248,https://ror.org/02jbv0t02,0,Lawrence Berkeley National Laboratory,,60007174,,7,2,2,1989
"University of California, San Francisco","University of California, San Francisco",United States,US,CDL,champion,249,https://ror.org/043mz5j54,0,"University of California, San Francisco",,60023691,,0,0,0,2000
CERN-European Organization for Nuclear Research,CERN-European Organization for Nuclear Research,Switzerland,CH,,champion,252,https://ror.org/01ggx4157,0,CERN-European Organization for Nuclear Research,5231134,60019778,,9,1,0,1990
Simon Fraser University,Simon Fraser University,Canada,CA,CRKN,member,253,https://ror.org/0213rcc28,0,Simon Fraser University,1750797,60018491,,1,1,0,1998
Stony Brook University,Stony Brook University,United States,US,,member,254,https://ror.org/05qghxh33,0,Stony Brook University,1771786,60026415,,7,2,0,1991
University of Georgia,University of Georgia,United States,US,,member,255,https://ror.org/00te3t702,0,University of Georgia,5231284,60029747,,0,0,1,1999
University of Texas at Austin,University of Texas at Austin,United States,US,,member,256,https://ror.org/00hj54h04,0,University of Texas at Austin,,60013372,,11,4,2,1983
Columbia University,Columbia University,United States,US,,member,258,https://ror.org/00hj8s172,0,Columbia University,1721059,60030162,,8,0,0,1992
Uppsala University,Uppsala University,Sweden,SE,,member,259,https://ror.org/048a87296,0,Uppsala University,52318427,60003858,,7,1,1,1991
KTH Royal Institute of Technology,KTH Royal Institute of Technology,Sweden,SE,,member,270,https://ror.org/026vcq606,0,KTH Royal Institute of Technology,4823336,60002014,,16,0,6,1978
University of Groningen,University of Groningen,Netherlands,NL,,member,271,https://ror.org/012p63287,0,University of Groningen,1853756,60010023,,8,0,2,1990
