ROR ID,TP,FP,FN,TN,InstitutionName
https://ror.org/00te3t702,0,0,1,1999,University of Georgia
https://ror.org/02rx3b187,11,0,11,1978,Université de Grenoble Alpes
https://ror.org/03vvy0v27,0,0,0,2000,Royal Danish Library
https://ror.org/04zrf7b53,1,1,1,1997,Technische Universität Kaiserslautern
https://ror.org/05n911h24,8,2,0,1990,Technische Universität Darmstadt
https://ror.org/05pmsvm27,0,0,0,2000,Zürcher Hochschule der Angewandten Wissenschaften
https://ror.org/03xjwb503,26,2,9,1963,Université Paris-Saclay
https://ror.org/03v8tnc06,0,2,0,1998,"IHEP, National Science Library, CAS"
https://ror.org/04tsk2644,2,0,1,1997,Universität Bochum
https://ror.org/023b0x485,2,0,1,1997,Universität Mainz
https://ror.org/00t33hh48,20,3,1,1976,Chinese University of Hong Kong
https://ror.org/00mkhxb43,8,2,0,1990,University of Notre Dame
https://ror.org/020hwjq30,6,0,0,1994,Aalto University
https://ror.org/03y7q9t39,2,0,0,1998,University of Canterbury
https://ror.org/02rgtxm82,0,0,0,2000,CSIC-UPV - Instituto de Gestión de la Innovación y del Conocimiento
https://ror.org/02e9dby02,0,0,0,2000,CSIC-UIB - Instituto Mediterraneo de Estudios Avanzados (IMEDEA)
https://ror.org/02ex6cf31,2,0,0,1998,Brookhaven National Laboratory
https://ror.org/048a87296,7,1,1,1991,Uppsala University
https://ror.org/00bwtjf83,0,0,0,2000,Tampere University of Applied Sciences
https://ror.org/05a28rw58,28,4,0,1968,ETH Zurich
https://ror.org/009wseg80,0,0,0,2000,CSIC - Instituto de Fisica Fundamental (IFF)
https://ror.org/04zp24820,0,0,0,2000,Chennai Mathematical Institute
https://ror.org/04etcj997,1,0,0,1999,Inter-University Centre for Astronomy and Astrophysics (IUCAA)
https://ror.org/00vasag41,1,0,0,1999,Université de Neuchâtel
https://ror.org/02y72wh86,0,2,0,1998,Queens University
https://ror.org/03hasqf61,0,0,0,2000,CSIC - Institut de Ciència de Materials de Barcelona (ICMAB)
https://ror.org/03pnv4752,0,0,0,2000,Queensland University of Technology
https://ror.org/03s65by71,6,1,0,1993,"University of California, Santa Cruz"
https://ror.org/03p74gp79,4,0,1,1995,University of Cape Town
https://ror.org/04m7z8d34,0,0,0,2000,CSIC - Centro Nacional de Investigaciones Metalurgicas (CENIM)
https://ror.org/00s5kmw74,0,0,0,2000,Canadian Research Knowledge Network
